TIME,LAT,LON,SPEED,HEADING
2020-02-04 18:00:00,35.38,125.1,12.3,145.2
2020-02-04 19:00:00,35.22,125.25,12.4,141.5
2020-02-04 20:00:00,35.03,125.4,12.3,150.8
2020-02-04 21:00:00,34.84,125.5,12.5,149.9
2020-02-04 22:00:00,34.66,125.56,12.8,177.4
2020-02-04 23:00:00,34.44,125.56,13.4,173.9
2020-02-05 00:00:00,34.22,125.6,13.7,172.5
2020-02-05 01:00:00,34.06,125.8,13.1,92.6
2020-02-05 02:00:00,34.06,126.06,13.1,93.9
2020-02-05 03:00:00,34.06,126.3,12.6,93.9
2020-02-05 04:00:00,34.06,126.56,11.8,85.1
2020-02-05 05:00:00,34.06,126.8,12.1,86.1
2020-02-05 06:00:00,34.1,127.06,12.1,84.1
2020-02-05 07:00:00,34.1,127.3,12.4,84.4
2020-02-05 08:00:00,34.16,127.56,12.4,73.5
2020-02-05 09:00:00,34.22,127.75,12.8,69.4
2020-02-05 10:00:00,34.28,128.0,12.7,71.8
2020-02-05 11:00:00,34.38,128.2,13.0,77.1
2020-02-05 12:00:00,34.44,128.5,12.1,57.8
2020-02-05 13:00:00,34.56,128.8,12.4,53.5
2020-02-05 14:00:00,34.7,128.9,12.3,32.6
2020-02-05 15:00:00,34.84,129.0,9.2,70.9
2020-02-05 16:00:00,34.88,129.0,0.2,228.2
2020-02-05 17:00:00,34.88,129.0,0.1,36.2
2020-02-05 18:00:00,34.88,129.0,0.1,176.5
2020-02-05 19:00:00,34.84,129.0,0.6,168.2
2020-02-05 20:00:00,34.88,129.0,1.0,83.7
2020-02-05 21:00:00,34.88,129.0,1.3,126.4
2020-02-05 22:00:00,34.84,129.0,0.8,186.8
2020-02-05 23:00:00,34.84,129.0,0.8,207.0
2020-02-06 00:00:00,34.84,129.0,4.2,27.9
2020-02-06 01:00:00,34.84,129.0,2.3,189.6
2020-02-06 02:00:00,34.8,129.0,2.5,197.8
2020-02-06 03:00:00,34.88,129.1,1.7,5.7
2020-02-06 04:00:00,34.84,129.1,1.5,164.1
2020-02-06 05:00:00,34.8,129.1,1.8,154.2
2020-02-06 06:00:00,34.84,129.1,1.1,181.6
2020-02-06 07:00:00,34.9,129.0,11.2,352.0
2020-02-06 08:00:00,35.06,129.1,0.4,240.0
2020-02-06 09:00:00,35.06,129.1,0.2,13.0
2020-02-06 10:00:00,35.06,129.0,0.1,192.5
2020-02-06 11:00:00,35.06,129.0,0.1,208.1
2020-02-06 12:00:00,35.06,129.0,0.1,232.1
2020-02-06 13:00:00,35.06,129.0,0.1,257.0
2020-02-06 14:00:00,35.06,129.0,0.1,36.2
2020-02-06 15:00:00,35.06,129.0,0.1,322.0
2020-02-06 16:00:00,35.06,129.0,0.0,4.7
2020-02-06 17:00:00,35.03,129.0,0.2,171.6
2020-02-06 18:00:00,35.03,129.0,0.0,100.9
2020-02-06 19:00:00,35.03,129.0,0.0,75.2
2020-02-06 20:00:00,35.03,129.0,0.0,238.4
2020-02-06 21:00:00,35.03,129.0,0.1,207.8
2020-02-06 22:00:00,35.03,129.0,0.1,289.0
2020-02-06 23:00:00,35.06,129.0,0.0,313.8
2020-02-07 00:00:00,35.06,129.0,0.0,327.2
2020-02-07 01:00:00,35.06,129.0,0.0,345.5
2020-02-07 02:00:00,35.03,129.0,0.0,128.1
2020-02-07 03:00:00,35.06,129.0,0.0,147.8
2020-02-07 04:00:00,35.06,129.0,0.0,122.5
2020-02-07 05:00:00,35.06,129.0,0.0,151.8
2020-02-07 06:00:00,35.06,129.0,0.1,152.9
2020-02-07 07:00:00,35.06,129.0,0.0,152.9
2020-02-07 08:00:00,35.06,129.0,0.0,15.9
2020-02-07 09:00:00,35.06,129.0,0.0,15.9
2020-02-07 10:00:00,35.06,129.0,0.0,15.9
2020-02-07 11:00:00,35.06,129.0,0.0,8.8
2020-02-07 12:00:00,35.06,129.0,0.0,181.8
2020-02-07 13:00:00,35.06,129.0,0.0,196.6
2020-02-07 14:00:00,35.06,129.0,0.0,173.4
2020-02-07 15:00:00,35.06,129.0,0.0,219.9
2020-02-07 16:00:00,35.06,129.0,0.0,74.0
2020-02-07 17:00:00,35.06,129.0,0.1,31.8
2020-02-07 18:00:00,35.06,129.0,0.0,15.9
2020-02-07 19:00:00,35.06,129.1,0.1,15.9
2020-02-07 20:00:00,35.06,129.0,0.0,193.6
2020-02-07 21:00:00,35.06,129.0,0.0,193.6
2020-02-07 22:00:00,35.03,129.0,0.0,6.0
2020-02-07 23:00:00,35.03,129.0,0.1,264.0
2020-02-08 00:00:00,35.03,129.0,0.0,185.8
2020-02-08 01:00:00,35.06,129.0,0.1,356.8
2020-02-08 02:00:00,35.03,129.0,0.0,226.4
2020-02-08 03:00:00,35.06,129.0,0.0,7.3
2020-02-08 04:00:00,35.03,129.0,0.0,245.8
2020-02-08 05:00:00,35.06,129.0,0.0,56.3
2020-02-08 06:00:00,35.06,129.0,0.1,1.5
2020-02-08 07:00:00,35.06,129.1,0.0,173.5
2020-02-08 08:00:00,35.06,129.0,0.1,288.2
2020-02-08 09:00:00,35.06,129.0,0.2,191.9
2020-02-08 10:00:00,35.06,129.1,0.0,335.8
2020-02-08 11:00:00,35.06,129.1,0.1,236.1
2020-02-08 12:00:00,35.06,129.1,0.3,221.5
2020-02-08 13:00:00,35.06,129.1,0.0,2.3
2020-02-08 14:00:00,35.06,129.0,0.1,339.5
2020-02-08 15:00:00,35.06,129.1,0.0,357.5
2020-02-08 16:00:00,35.06,129.0,0.1,245.6
2020-02-08 17:00:00,35.06,129.0,0.0,19.7
2020-02-08 18:00:00,35.03,129.0,0.2,17.7
2020-02-08 19:00:00,35.03,129.0,0.0,231.9
2020-02-08 20:00:00,35.06,129.0,0.0,34.8
2020-02-08 21:00:00,35.06,129.0,0.0,34.8
2020-02-08 22:00:00,35.06,129.0,0.0,34.8
2020-02-08 23:00:00,35.06,129.0,0.0,198.6
2020-02-09 00:00:00,35.03,129.0,0.0,198.6
2020-02-09 01:00:00,35.03,129.0,0.1,9.7
2020-02-09 02:00:00,35.03,129.0,0.0,30.1
2020-02-09 03:00:00,35.06,129.0,0.1,22.5
2020-02-09 04:00:00,35.06,129.0,0.2,194.4
2020-02-09 05:00:00,35.06,129.0,0.0,214.4
2020-02-09 06:00:00,35.06,129.0,0.0,40.7
2020-02-09 07:00:00,35.06,129.0,0.0,352.0
2020-02-09 08:00:00,35.06,129.0,0.1,153.5
2020-02-09 09:00:00,35.06,129.0,0.0,207.4
2020-02-09 10:00:00,35.06,129.0,0.0,0.2
2020-02-09 11:00:00,35.06,129.0,0.0,20.2
2020-02-09 12:00:00,35.06,129.0,0.0,336.8
2020-02-09 13:00:00,35.06,129.0,0.1,156.6
2020-02-09 14:00:00,35.06,129.0,0.0,316.5
2020-02-09 15:00:00,35.06,129.0,0.1,328.2
2020-02-09 16:00:00,35.06,129.0,0.1,298.5
2020-02-09 17:00:00,35.06,129.0,0.1,156.1
2020-02-09 18:00:00,35.06,129.0,0.0,197.5
2020-02-09 19:00:00,35.06,129.0,0.0,354.2
2020-02-09 20:00:00,35.06,129.0,0.1,179.2
2020-02-09 21:00:00,35.06,129.0,0.0,10.5
2020-02-09 22:00:00,35.06,129.0,0.2,358.8
2020-02-09 23:00:00,35.06,129.0,0.1,213.9
2020-02-10 00:00:00,35.06,129.0,0.1,341.0
2020-02-10 01:00:00,35.06,129.0,0.0,186.2
2020-02-10 02:00:00,35.06,129.0,0.0,287.5
2020-02-10 03:00:00,35.06,129.0,0.0,246.6
2020-02-10 04:00:00,35.06,129.0,0.0,50.1
2020-02-10 05:00:00,35.06,129.0,0.0,50.1
2020-02-10 06:00:00,35.06,129.0,0.0,147.2
2020-02-10 07:00:00,35.06,129.0,0.0,158.8
2020-02-10 08:00:00,35.06,129.0,0.0,158.8
2020-02-10 09:00:00,35.06,129.0,0.0,176.8
2020-02-10 10:00:00,35.06,129.0,0.0,347.0
2020-02-10 11:00:00,35.06,129.0,0.0,337.5
2020-02-10 12:00:00,35.06,129.0,0.0,334.5
2020-02-10 13:00:00,35.06,129.0,0.0,334.5
2020-02-10 14:00:00,35.06,129.0,0.0,334.5
2020-02-10 15:00:00,35.06,129.0,0.0,297.5
2020-02-10 16:00:00,35.06,129.0,0.1,270.8
2020-02-10 17:00:00,35.06,129.0,0.0,121.7
2020-02-10 18:00:00,35.06,129.0,0.0,120.4
2020-02-10 19:00:00,35.06,129.0,0.1,194.2
2020-02-10 20:00:00,35.06,129.0,0.0,212.0
2020-02-10 21:00:00,35.06,129.0,0.0,212.0
2020-02-10 22:00:00,35.06,129.0,0.2,205.2
2020-02-10 23:00:00,35.03,129.0,0.1,154.9
2020-02-11 00:00:00,35.06,129.0,0.0,83.4
2020-02-11 01:00:00,35.06,129.0,0.1,311.5
2020-02-11 02:00:00,35.06,129.0,0.0,278.0
2020-02-11 03:00:00,35.06,129.0,0.0,278.0
2020-02-11 04:00:00,35.06,129.0,0.0,278.0
2020-02-11 05:00:00,35.06,129.0,0.2,258.0
2020-02-11 06:00:00,35.06,129.0,0.0,249.4
2020-02-11 07:00:00,35.06,129.0,0.0,88.8
2020-02-11 08:00:00,35.06,129.0,0.0,29.3
2020-02-11 09:00:00,35.06,129.0,0.0,353.5
2020-02-11 10:00:00,35.06,129.0,0.0,188.9
2020-02-11 11:00:00,35.06,129.0,0.0,3.4
2020-02-11 12:00:00,35.06,129.0,0.1,155.8
2020-02-11 13:00:00,35.06,129.0,0.0,326.8
2020-02-11 14:00:00,35.06,129.0,0.0,147.9
2020-02-11 15:00:00,35.06,129.0,0.0,332.8
2020-02-11 16:00:00,35.06,129.0,0.0,332.8
2020-02-11 17:00:00,35.06,129.0,0.1,332.8
2020-02-11 18:00:00,35.06,129.0,0.0,332.8
2020-02-11 19:00:00,35.06,129.0,0.0,270.2
2020-02-11 20:00:00,35.06,129.0,0.0,87.1
2020-02-11 21:00:00,35.06,129.0,0.1,288.0
2020-02-11 22:00:00,35.06,129.0,0.0,308.2
2020-02-11 23:00:00,35.06,129.0,0.0,279.2
2020-02-12 00:00:00,35.06,129.0,0.0,102.2
2020-02-12 01:00:00,35.06,129.0,0.0,102.2
2020-02-12 02:00:00,35.06,129.0,0.0,102.2
2020-02-12 03:00:00,35.06,129.0,0.0,102.2
2020-02-12 04:00:00,35.06,129.0,0.0,102.2
2020-02-12 05:00:00,35.06,129.0,0.0,102.2
2020-02-12 06:00:00,35.06,129.0,0.1,76.0
